0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:56 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:56 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:56 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:56 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:56 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:02:42 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:03:02 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:03:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:03:48 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:03:58 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:05:08 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:05:09 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:05:14 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:05:39 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:05:50 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:06:04 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:06:16 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:06:21 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:06:50 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:07:02 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:07:37 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:08:01 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:08:08 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:08:14 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:08:26 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:08:33 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:08:39 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1163
